firstName,lastName,personId,gameId,gameDate,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,fullName,game_year,birth_year,age_at_game,player_threshold,over_threshold,age_expected_points,age_expected_minutes,points_vs_age_expected,minutes_vs_age_expected,age_category,years_in_league_approx,career_stage,fg_percentage,three_point_percentage,free_throw_percentage,points_per_minute,total_shot_attempts,month,day_of_week,is_weekend
Rudy,Gobert,203497,22500246,2025-11-17 20:00:00+00:00,Minnesota,Timberwolves,Dallas,Mavericks,,,,,True,True,29.06,15.0,4.0,1.0,2.0,8.0,6.0,0.75,0.0,0.0,0.0,6.0,3.0,0.5,4.0,5.0,9.0,0.0,2.0,19.0,Rudy Gobert,2025,,,12.46,1,,,,,,,,0.75,0.0,0.5,0.516173434273916,14.0,11.0,0.0,0
Karl-Anthony,Towns,1626157,22500244,2025-11-17 19:30:00+00:00,New York,Knicks,Miami,Heat,,,,,False,False,32.37,22.0,2.0,1.0,0.0,19.0,7.0,0.368,7.0,1.0,0.143,7.0,7.0,1.0,11.0,4.0,15.0,5.0,4.0,3.0,Karl-Anthony Towns,2025,,,22.39,0,,,,,,,,0.3684210526315789,0.14285714285714285,1.0,0.6796416434970652,26.0,11.0,0.0,0
Mikal,Bridges,1628969,22500244,2025-11-17 19:30:00+00:00,New York,Knicks,Miami,Heat,,,,,False,False,39.13,23.0,4.0,4.0,2.0,14.0,9.0,0.643,4.0,2.0,0.5,5.0,3.0,0.6,2.0,1.0,3.0,0.0,2.0,-8.0,Mikal Bridges,2025,,,14.61,1,,,,,,,,0.6428571428571429,0.5,0.6,0.5877843087145412,19.0,11.0,0.0,0
James,Harden,201935,22500243,2025-11-17 19:00:00+00:00,LA,Clippers,Philadelphia,76ers,,,,,False,False,36.47,28.0,5.0,2.0,1.0,25.0,7.0,0.28,12.0,2.0,0.167,12.0,12.0,1.0,5.0,1.0,6.0,2.0,4.0,4.0,James Harden,2025,,,23.58,1,,,,,,,,0.28,0.16666666666666666,1.0,0.7677543186180422,37.0,11.0,0.0,0
Devin,Booker,1626164,22500239,2025-11-16 20:00:00+00:00,Phoenix,Suns,Atlanta,Hawks,,,,,False,True,37.36,27.0,7.0,1.0,1.0,23.0,10.0,0.435,6.0,0.0,0.0,7.0,7.0,1.0,1.0,1.0,2.0,4.0,5.0,-17.0,Devin Booker,2025,,,24.35,1,,,,,,,,0.43478260869565216,0.0,1.0,0.7226980728051392,30.0,11.0,6.0,1
Nikola,Vucevic,202696,22500240,2025-11-16 20:00:00+00:00,Chicago,Bulls,Utah,Jazz,,,,,False,False,41.24,21.0,2.0,3.0,0.0,17.0,8.0,0.471,8.0,3.0,0.375,2.0,2.0,1.0,12.0,0.0,12.0,3.0,0.0,-3.0,Nikola Vucevic,2025,,,16.84,1,,,,,,,,0.47058823529411764,0.375,1.0,0.5092143549951503,19.0,11.0,6.0,1
Buddy,Hield,1627741,22500237,2025-11-16 19:00:00+00:00,Golden State,Warriors,New Orleans,Pelicans,,,,,True,False,19.51,11.0,2.0,0.0,3.0,8.0,4.0,0.5,6.0,3.0,0.5,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,Buddy Hield,2025,,,14.61,0,,,,,,,,0.5,0.5,0.0,0.5638134290107637,8.0,11.0,6.0,1
Kevin,Durant,201142,22500236,2025-11-16 19:00:00+00:00,Houston,Rockets,Orlando,Magic,,,,,True,True,45.05,35.0,6.0,1.0,0.0,24.0,13.0,0.542,8.0,2.0,0.25,7.0,7.0,1.0,5.0,0.0,5.0,2.0,5.0,4.0,Kevin Durant,2025,,,26.99,1,,,,,,,,0.5416666666666666,0.25,1.0,0.776914539400666,31.0,11.0,6.0,1
Stephen,Curry,201939,22500237,2025-11-16 19:00:00+00:00,Golden State,Warriors,New Orleans,Pelicans,,,,,True,False,28.07,9.0,3.0,0.0,0.0,11.0,2.0,0.182,6.0,1.0,0.167,5.0,4.0,0.8,4.0,1.0,5.0,3.0,4.0,18.0,Stephen Curry,2025,,,24.6,0,,,,,,,,0.18181818181818182,0.16666666666666666,0.8,0.32062700391877447,16.0,11.0,6.0,1
Harrison,Barnes,203084,22500234,2025-11-16 16:00:00+00:00,San Antonio,Spurs,Sacramento,Kings,,,,,True,True,30.12,20.0,3.0,0.0,2.0,11.0,7.0,0.636,6.0,3.0,0.5,4.0,3.0,0.75,2.0,0.0,2.0,0.0,0.0,16.0,Harrison Barnes,2025,,,13.42,1,,,,,,,,0.6363636363636364,0.5,0.75,0.6640106241699867,15.0,11.0,6.0,1
James,Harden,201935,22500233,2025-11-16 15:30:00+00:00,LA,Clippers,Boston,Celtics,,,,,False,False,37.49,37.0,8.0,0.0,1.0,22.0,9.0,0.409,11.0,5.0,0.455,15.0,14.0,0.933,6.0,1.0,7.0,3.0,3.0,-8.0,James Harden,2025,,,23.58,1,,,,,,,,0.4090909090909091,0.45454545454545453,0.9333333333333333,0.9869298479594558,37.0,11.0,6.0,1
