model,accuracy,precision,recall,f1_score,roc_auc,log_loss
Logistic Regression (Clean),0.6185873605947956,0.6002875629043853,0.6398467432950191,0.6194362017804155,0.6722342559165665,0.6378366431511001
Random Forest (Clean),0.6156133828996283,0.5866922584772872,0.7026819923371648,0.6394700139470014,0.6584400459216841,0.6425983251487896
